NeuroniosOculta;taxaAprendizado;epoca;funcaoAtivacao
10;0.1;10000;Sigmoide
15;0.1;10000;Sigmoide
20;0.1;10000;Sigmoide
25;0.1;10000;Sigmoide
30;0.1;10000;Sigmoide
35;0.1;10000;Sigmoide
40;0.1;10000;Sigmoide
45;0.1;10000;Sigmoide
50;0.1;10000;Sigmoide
10;0.2;10000;Sigmoide
15;0.2;10000;Sigmoide
20;0.2;10000;Sigmoide
25;0.2;10000;Sigmoide
30;0.2;10000;Sigmoide
35;0.2;10000;Sigmoide
40;0.2;10000;Sigmoide
45;0.2;10000;Sigmoide
50;0.2;10000;Sigmoide
10;0.30000000000000004;10000;Sigmoide
15;0.30000000000000004;10000;Sigmoide
20;0.30000000000000004;10000;Sigmoide
25;0.30000000000000004;10000;Sigmoide
30;0.30000000000000004;10000;Sigmoide
35;0.30000000000000004;10000;Sigmoide
40;0.30000000000000004;10000;Sigmoide
45;0.30000000000000004;10000;Sigmoide
50;0.30000000000000004;10000;Sigmoide
10;0.4;10000;Sigmoide
15;0.4;10000;Sigmoide
20;0.4;10000;Sigmoide
25;0.4;10000;Sigmoide
30;0.4;10000;Sigmoide
35;0.4;10000;Sigmoide
40;0.4;10000;Sigmoide
45;0.4;10000;Sigmoide
50;0.4;10000;Sigmoide
10;0.5;10000;Sigmoide
15;0.5;10000;Sigmoide
20;0.5;10000;Sigmoide
25;0.5;10000;Sigmoide
30;0.5;10000;Sigmoide
35;0.5;10000;Sigmoide
40;0.5;10000;Sigmoide
45;0.5;10000;Sigmoide
50;0.5;10000;Sigmoide
10;0.6;10000;Sigmoide
15;0.6;10000;Sigmoide
20;0.6;10000;Sigmoide
25;0.6;10000;Sigmoide
30;0.6;10000;Sigmoide
35;0.6;10000;Sigmoide
40;0.6;10000;Sigmoide
45;0.6;10000;Sigmoide
50;0.6;10000;Sigmoide
10;0.7;10000;Sigmoide
15;0.7;10000;Sigmoide
20;0.7;10000;Sigmoide
25;0.7;10000;Sigmoide
30;0.7;10000;Sigmoide
35;0.7;10000;Sigmoide
40;0.7;10000;Sigmoide
45;0.7;10000;Sigmoide
50;0.7;10000;Sigmoide
10;0.7999999999999999;10000;Sigmoide
15;0.7999999999999999;10000;Sigmoide
20;0.7999999999999999;10000;Sigmoide
25;0.7999999999999999;10000;Sigmoide
30;0.7999999999999999;10000;Sigmoide
35;0.7999999999999999;10000;Sigmoide
40;0.7999999999999999;10000;Sigmoide
45;0.7999999999999999;10000;Sigmoide
50;0.7999999999999999;10000;Sigmoide
10;0.8999999999999999;10000;Sigmoide
15;0.8999999999999999;10000;Sigmoide
20;0.8999999999999999;10000;Sigmoide
25;0.8999999999999999;10000;Sigmoide
30;0.8999999999999999;10000;Sigmoide
35;0.8999999999999999;10000;Sigmoide
40;0.8999999999999999;10000;Sigmoide
45;0.8999999999999999;10000;Sigmoide
50;0.8999999999999999;10000;Sigmoide
